行政區,公廁編號,公廁類別,公廁名稱,公廁位置,公廁等級,公廁地址,經度,緯度,管理單位,尿布臺設置數量,兒童座椅設置數量,親子友善評鑑獲獎
士林區,A147,交通,捷運劍潭站(淡水信義線),北側親子,特優級(分),臺北市士林區中山北路五段65號,121.525078,25.084873,捷運劍潭站(夜),1,1,
士林區,A148,交通,捷運士林站(淡水信義線),北側親子,特優級(分),臺北市士林區福德路1號,121.52623,25.093535,捷運士林站,1,1,
士林區,A149,交通,捷運芝山站(淡水信義線),南親子,特優級(分),臺北市士林區福國路70號,121.522514,25.10306,捷運芝山站,1,1,
士林區,百526,綜合零售賣場,新光三越台北天母店,A館6樓親子,特優級(分),臺北市士林區天母東路68號,121.533924,25.11795,新光三越百貨股份有限公司臺北天母店,1,1,
士林區,百507,綜合零售賣場,大葉高島屋百貨,蘭雅國中旁B1親子,特優級(分),臺北市士林區忠誠路二段55號,121.531342,25.111735,大葉高島屋百貨股份有限公司,0,1,
士林區,百507,綜合零售賣場,大葉高島屋百貨,蘭雅國中旁1樓親子,特優級(分),臺北市士林區忠誠路二段55號,121.531342,25.111735,大葉高島屋百貨股份有限公司,1,0,
士林區,百526,綜合零售賣場,新光三越台北天母店,A館B1親子,特優級(分),臺北市士林區天母東路68號,121.533924,25.11795,新光三越百貨股份有限公司臺北天母店,1,0,
士林區,機106,機關,士林地政事務所,士商5F親子,特優級(分),臺北市士林區中正路439號5樓,121.51967,25.092808,臺北市士林地政事務所,1,1,
士林區,機06,機關,士林區公所,9F右親子性別友善,特優級(分),臺北市士林區中正路439號,121.51967,25.092808,臺北市士林區公所,1,1,
士林區,B008,文化育樂場所,國立臺灣科學教育館,1F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,3F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,5F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,6F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,7F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B008,文化育樂場所,國立臺灣科學教育館,8F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,B570,文化育樂場所,天母運動場,親子,優等級(分),臺北市士林區忠誠路二段77號(天母運動園區服務中心),121.534287,25.114385,臺北市輪椅網球推廣協會,0,0,
士林區,百528,綜合零售賣場,特力和樂士林店,B2親子,特優級(分),臺北市士林區基河路258號地下一樓,121.520569,25.092177,特力屋股份有限公司,0,0,
士林區,機113,機關,士林區戶政事務所,3樓左親子,特優級(分),臺北市士林區中正路439號3樓,121.51967,25.092808,臺北市士林區戶政事務所,1,1,
士林區,B008,文化育樂場所,國立臺灣科學教育館,4F西親子,特優級(分),臺北市士林區士商路189號,121.51601,25.095988,國立臺灣科學教育館,0,0,
士林區,A567,交通,百齡高中地下停車場,B1親子,特優級(分),臺北市士林區承德路四段175號地下一、二樓,121.523996,25.086151,臺北市停車管理工程處百齡高中地下停車場,1,1,
士林區,醫01,醫院,聯合醫院陽明院區　　　　,1-2親子無障礙,優等級(分),臺北市士林區雨聲街105號,121.53175,25.105287,臺北市立聯合醫院陽明院區,0,0,
士林區,D521,公園,忠誠公園,親子廁所,優等級(分),臺北市士林區中山北路六段與忠誠路會口公園水池後方,121.525878,25.103148,公園路燈工程管理處陽明山公園管理所,1,1,
士林區,D525,公園,士林官邸,4號親子,特優級(分),臺北市士林區福林路60號,121.530152,25.094898,公園路燈工程管理處園藝管理所,0,1,
士林區,D519,公園,芝山公園1號,親子,優等級(分),臺北市士林區至誠路一段182號與雨農路交叉口,121.532836,25.101148,公園路燈工程管理處陽明山公園管理所,0,0,
士林區,D033,公園,天母公園,親子廁所,特優級(分),臺北市士林區中山北路7段141巷旁,121.530071,25.125855,公園路燈工程管理處陽明公園管理所,1,1,
士林區,D548,公園,美崙公園,親子廁所,特優級(分),臺北市士林區美崙街152巷,121.519656,25.096979,公園路燈工程管理處陽明山公園管理所,1,1,
士林區,D525,公園,士林官邸,5號親子,特優級(分),臺北市士林區福林路60號,121.530152,25.094898,公園路燈工程管理處園藝管理所,1,1,
士林區,D701,公園,花卉試驗中心,親子,優等級(分),臺北市士林區仰德大道四段175巷32號,121.544438,25.134945,公園路燈工程管理處花卉試驗中心,1,1,
士林區,流053,公園,社子島基隆河側景觀,社子島基隆河側景觀(社子島頭公園)親子,,社子島頭公園,121.466524,25.110269,水利處河川管理科高灘地北區管理站,0,0,
士林區,B108,文化育樂場所,臺北表演藝術中心,7樓GP劇場親子,特優級(分),臺北市士林區劍潭路1號,121.524211,25.085079,臺北表演藝術中心,0,0,
士林區,B564,觀光遊憩,國立故宮博物院,B1兒童學藝中心左親子,特優級(分),臺北市士林區至善路二段221號,121.54936,25.099688,國立故宮博物院,1,1,
士林區,B564,觀光遊憩,國立故宮博物院,B1兒童學藝中心右親子,特優級(分),臺北市士林區至善路二段221號,121.54936,25.099688,國立故宮博物院,1,1,
士林區,D614,公園,華齡公園,景觀親子廁所,優等級(分),臺北市士林區承德路，後港街間,121.52088,25.083272,園藝工程隊(北區分隊),1,1,
大同區,E050,市場,公有大龍市場(署),親子,優等級(分),臺北市大同區重慶北路三段347號,121.51416,25.074936,臺北市市場處公有大龍市場,1,1,
大同區,A146,交通,捷運圓山站(淡水信義線),親子,特優級(分),臺北市大同區酒泉街9之1號,121.520118,25.071353,捷運圓山站,1,1,
大同區,A752,交通,捷運大橋頭站(新蘆線),付費區親子,特優級(分),臺北市大同區民權西路223號,121.513043,25.063171,捷運大橋頭站,1,0,
大同區,A144,交通,捷運雙連站(淡水信義線),親子,特優級(分),臺北市大同區民生西路47號,121.520653,25.057686,捷運雙連站,1,1,
大同區,A145,交通,捷運民權西路站(淡水信義線),親子,特優級(分),臺北市大同區民權西路72號,121.519531,25.062724,捷運民權西路站,1,1,
大同區,A751,交通,捷運民權西路站(新蘆線),非付費區親子,特優級(分),臺北市大同區民權西路72號1F,121.519346,25.062879,捷運民權西路站,1,0,
大同區,A167,交通,捷運北門站(松山新店線),B1站外親子,特優級(分),臺北市大同區塔城街10號,121.510184,25.049554,捷運北門站,1,1,
大同區,A167,交通,捷運北門站(松山新店線),B2站外親子,特優級(分),臺北市大同區塔城街10號,121.510184,25.049554,捷運北門站,1,1,
大同區,A168,交通,捷運中山站(松山新店線),站外親子,特優級(分),臺北市大同區南京西路55號,121.520364,25.052621,捷運中山站,1,1,
大同區,宗21,宗教,孔廟,親子,特優級(分),臺北市大同區大龍街275號,121.516179,25.072762,臺北市孔廟管理委員會,1,1,
大同區,A143,交通,捷運中山站(淡水信義線),親子廁所,特優級(分),臺北市大同區南京西路16號,121.520518,25.052433,捷運中山站,1,0,
大同區,B106,文化育樂場所,新芳春茶行,1樓親子廁所,特優級(分),臺北市大同區民生西路309號,121.512543,25.057079,財團法人臺灣文創發展基金會,1,1,
大同區,機82,機關,臺北市立圖書館蘭州民眾閱覽室,親子廁所,特優級(分),臺北市大同區昌吉街57號4樓,121.515458,25.066028,臺北市立圖書館蘭州民眾閱覽室,1,1,
大同區,機10,機關,臺北市立圖書館大同分館,B1親子,特優級(分),臺北市大同區重慶北路三段318號,121.513555,25.074304,臺北市立圖書館大同分館,1,1,
大同區,A185,交通,延平國小地下停車場,B1親子,優等級(分),臺北市大同區昌吉街97號,121.511904,25.067205,歐特儀股份有限公司延平地下停車場,1,0,
大同區,百803,綜合零售賣場,京站時尚廣場,B2西親子,特優級(分),臺北市大同區承德路一段1號,121.516825,25.049345,京站時尚廣場,1,1,V
大同區,百803,綜合零售賣場,京站時尚廣場,B3北親子,特優級(分),臺北市大同區承德路一段1號,121.516825,25.049345,京站時尚廣場,1,1,
大同區,百809,綜合零售賣場,中山地下街,M13親子廁所,特優級(分),臺北市大同區南京西路16號地下街(位於捷運臺北車站至雙連站之間),121.520382,25.052605,臺北大眾捷運股份有限公司,1,1,
大同區,百809,綜合零售賣場,中山地下街,M14親子廁所,特優級(分),臺北市大同區南京西路16號地下街(位於捷運臺北車站至雙連站之間),121.520382,25.052605,臺北大眾捷運股份有限公司,1,1,
大安區,機816,機關,臺北市立圖書館延吉閱覽室,3F親子,特優級(分),臺北市大安區延吉街236巷17號3-4樓,121.555021,25.036117,臺北市立圖書館延吉民眾閱覽室,1,0,
大安區,醫06,醫院,聯合醫院仁愛院區　　　　　,親子,特優級(分),臺北市大安區仁愛路四段10號,121.545224,25.037512,臺北市立聯合醫院仁愛院區,1,1,
大安區,A762,交通,捷運大安森林公園站(淡水信義線),東親子,特優級(分),臺北市大安區信義路三段100號B1,121.5337,25.033418,捷運大安森林公園站,1,1,
大安區,A762,交通,捷運大安森林公園站(淡水信義線),西親子,特優級(分),臺北市大安區信義路三段100號B1,121.5337,25.033418,捷運大安森林公園站,1,1,
大安區,A763,交通,捷運安和站(淡水信義線),親子,特優級(分),臺北市大安區信義路四段212之1號B1,121.551853,25.033185,捷運信義安和站,1,1,
大安區,A163,交通,捷運忠孝敦化站(板南線),親子,特優級(分),臺北市大安區忠孝東路四段182號,121.551744,25.041269,捷運忠孝敦化站,1,1,
大安區,A759,交通,捷運東門站(淡水信義線),親子廁所,特優級(分),臺北市大安區信義路二段166號,121.5288,25.0336,捷運東門站,0,1,
大安區,A162,交通,捷運忠孝新生站(板南線),親子廁所,特優級(分),臺北市大安區新生南路一段67號,121.533107,25.042023,捷運忠孝新生站,1,1,
大安區,A176,交通,捷運忠孝復興站(板南線),親子,特優級(分),臺北市大安區忠孝東路四段47號,121.544841,25.041833,捷運忠孝復興站,1,1,
大安區,A579,交通,金華公園地下停車場,親子,特優級(分),臺北市大安區金華街254巷1號地下,121.531765,25.029471,臺北市停車管理工程處金華公園地下停車場,1,1,
大安區,百808,綜合零售賣場,東區地下街,廣1親子廁所,特優級(分),臺北市大安區大安路一段77號地下街(位於忠孝復興站至忠孝敦化站之間),121.5462,25.0418,臺北大眾捷運股份有限公司,1,1,
大安區,百808,綜合零售賣場,東區地下街,廣4親子廁所,特優級(分),臺北市大安區大安路一段77號地下街(位於忠孝復興站至忠孝敦化站之間),121.5462,25.0418,臺北大眾捷運股份有限公司,1,1,
大安區,百808,綜合零售賣場,東區地下街,廣7親子廁所,特優級(分),臺北市大安區大安路一段77號地下街(位於忠孝復興站至忠孝敦化站之間),121.5462,25.0418,臺北大眾捷運股份有限公司,1,1,
大安區,D073,公園,大安森林公園(署),2號音樂臺南側無障礙親子,優等級(分),臺北市大安區新生南路二段1號,121.535241,25.027752,公園路燈工程管理處青年公園管理所,1,1,
大安區,D073,公園,大安森林公園(署),3號音樂臺北側無障礙親子,特優級(分),臺北市大安區新生南路二段1號,121.535241,25.027752,公園路燈工程管理處青年公園管理所,1,1,
大安區,D073,公園,大安森林公園(署),4號信義路無障礙親子,優等級(分),臺北市大安區新生南路二段1號,121.535241,25.027752,公園路燈工程管理處青年公園管理所,1,1,
大安區,A125,交通,捷運忠孝復興站(文湖線),親子廁所,特優級(分),臺北市大安區忠孝東路三段302號,121.542995,25.041483,捷運忠孝復興站,1,1,
大安區,機19,機關,大安地政事務所,1F親子暨無障礙,特優級(分),臺北市大安區信義路四段335巷6號,121.556434,25.033834,臺北市大安地政事務所,1,1,
大安區,D073,公園,大安森林公園(署),1號和平東路親子廁所,特優級(分),臺北市大安區新生南路二段1號,121.535241,25.027752,公園路燈工程管理處青年公園管理所,1,1,
大安區,醫811,醫院,臺大癌醫中心,E區門診親子廁所,特優級(分),臺北市大安區基隆路三段155巷57號1樓,121.544196,25.014688,國立臺灣大學醫學院附設醫院,1,1,V
大安區,A775,交通,大安國中地下停車場,親子,特優級(分),臺北市大安區大安路二段79號,121.54616,25.029932,正好停股份有限公司,1,1,
大安區,A554,交通,大安森林公園地下停車場(署),親子廁所,特優級(分),臺北市大安區建國南路二段2號地下一樓,121.537892,25.028771,臺北市停車管理工程處大安森林公園地下停車場,0,0,
中山區,百609,綜合零售賣場,美麗華百樂園,B1南女親子,特優級(分),臺北市中山區敬業三路20號,121.557293,25.082837,美麗華城市發展股份有限公司,0,1,
中山區,A712,交通,捷運劍南路站(文湖線),親子,特優級(分),臺北市中山區北安路798號,121.555462,25.084787,捷運劍南路站,1,1,
中山區,A713,交通,捷運大直站(文湖線),親子,特優級(分),臺北市中山區北安路534之1號,121.547078,25.079446,捷運大直站,1,1,
中山區,B021,文化育樂場所,臺北市立美術館,B2圖書館多功能親子,特優級(分),臺北市中山區中山北路三段181號,121.524686,25.072631,臺北市立美術館,0,1,
中山區,B021,文化育樂場所,臺北市立美術館,2F多功能親子,特優級(分),臺北市中山區中山北路三段181號,121.524686,25.072631,臺北市立美術館,1,1,
中山區,A748,交通,捷運松江南京站(新蘆線),付費區親子,特優級(分),臺北市中山區松江路126號B1,121.532951,25.052906,捷運松江南京站,1,1,
中山區,A750,交通,捷運中山國小站(新蘆線),付費區親子,特優級(分),臺北市中山區民權東路一段71號B1,121.527658,25.062655,捷運中山國小站,1,1,
中山區,A749,交通,捷運行天宮站(新蘆線),親子,特優級(分),臺北市中山區松江路316號B1,121.533084,25.060552,捷運行天宮站,1,1,
中山區,B021,文化育樂場所,臺北市立美術館,B1兒童藝術教育中心親子,特優級(分),臺北市中山區中山北路三段181號,121.524686,25.072631,臺北市立美術館,1,1,
中山區,A553,交通,捷運中山國中站(文湖線),親子,特優級(分),臺北市中山區復興北路376號,121.544215,25.060841,捷運中山國中站,1,1,
中山區,A169,交通,捷運松江南京站(松山新店線),站外東親子,特優級(分),臺北市中山區松江路126號B1,121.533077,25.051885,捷運松江南京站,1,1,
中山區,機99,機關,國稅局中北稽徵所,2樓親子,特優級(分),臺北市中山區松江路219號,121.533394,25.05766,財政部臺北國稅局中北稽徵所,0,0,
中山區,百206,綜合零售賣場,誠品生活南西店,B1親子,特優級(分),臺北市中山區南京西路14號,121.520656,25.052219,誠品生活股份有限公司,1,1,
中山區,百206,綜合零售賣場,誠品生活南西店,2樓親子,特優級(分),臺北市中山區南京西路14號,121.520656,25.052219,誠品生活股份有限公司,1,1,
中山區,百206,綜合零售賣場,誠品生活南西店,4樓親子,特優級(分),臺北市中山區南京西路14號,121.520656,25.052219,誠品生活股份有限公司,1,1,
中山區,B053,觀光遊憩,國民革命忠烈祠,親子,特優級(分),臺北市中山區北安路139號,121.533073,25.078801,全民防衛動員署後備指揮部,1,1,
中山區,D018,公園,新生公園,景觀2號親子廁所1,特優級(分),臺北市中山區新生北路三段105號建國高架橋旁,121.531014,25.068647,公園路燈工程管理處圓山公園管理所新生公園,1,1,
中山區,D018,公園,新生公園,景觀2號親子廁所2,特優級(分),臺北市中山區新生北路三段105號建國高架橋旁,121.531014,25.068647,公園路燈工程管理處圓山公園管理所新生公園,1,1,
中正區,機36,機關,中山堂,中正廳北側1樓親子,特優級(分),臺北市中正區延平南路98號,121.510036,25.043204,臺北市中山堂管理所,0,1,
中正區,醫10,醫院,臺大醫院　　　,兒醫4F-03-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,0,V
中正區,醫11,醫院,三軍總醫院汀州院區　　,204婦兒科旁親子廁所,特優級(分),臺北市中正區汀州路三段40號,121.529829,25.016476,三軍總醫院汀州院區,1,0,
中正區,A133,交通,捷運臺北車站(淡水信義線),R13親子(外),特優級(分),臺北市中正區忠孝西路一段49號,121.517896,25.046374,捷運臺北車站,1,1,
中正區,A133,交通,捷運臺北車站(淡水信義線),R13親子,特優級(分),臺北市中正區忠孝西路一段49號,121.517896,25.046374,捷運臺北車站,1,1,
中正區,B741,文化育樂場所,中正運動中心,1F親子友善,特優級(分),臺北市中正區信義路一段1號,121.518896,25.038569,中正運動中心,0,0,
中正區,醫10,醫院,臺大醫院　　　,兒醫2F-01-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,1,
中正區,醫10,醫院,臺大醫院　　　,兒醫2F-02-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,0,
中正區,醫10,醫院,臺大醫院　　　,兒醫2F-03-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,1,
中正區,醫10,醫院,臺大醫院　　　,兒醫3F-02-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,1,
中正區,醫10,醫院,臺大醫院　　　,兒醫3F-03-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,1,
中正區,醫10,醫院,臺大醫院　　　,兒醫4F-02-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,1,1,
中正區,B752,文化育樂場所,二二八國家紀念館,親子,特優級(分),臺北市中正區南海路54號,121.51379,25.031614,財團法人二二八事件紀念基金會,1,0,
中正區,D037,公園,逸仙公園,親子廁所,優等級(分),臺北市中正區中山北路、北平西路交叉口國父史蹟紀念館內,121.520269,25.047554,公園路燈工程管理處青年公園管理所,1,1,
中正區,醫10,醫院,臺大醫院　　　,二東2F-01-0親子,特優級(分),臺北市中正區常德街1號,121.517181,25.041417,國立臺灣大學醫學院附設醫院,0,0,
中正區,A001,交通,臺北車站(署),7號親子,特優級(分),臺北市中正區北平西路3號,121.516989,25.047893,臺鐵公司北區營運處臺北運務段臺北站,1,1,
中正區,A001,交通,臺北車站(署),8號親子,特優級(分),臺北市中正區北平西路3號,121.516989,25.047893,臺鐵公司北區營運處臺北運務段臺北站,1,1,
中正區,A001,交通,臺北車站(署),多功能親子,特優級(分),臺北市中正區北平西路3號,121.516989,25.047893,臺鐵公司北區營運處臺北運務段臺北站,1,1,
中正區,A001,交通,臺北車站(署),9號親子,特優級(分),臺北市中正區北平西路3號,121.516989,25.047893,臺鐵公司北區營運處臺北運務段臺北站,1,1,
中正區,百806,綜合零售賣場,微風臺北車站(署),1號親子,優等級(分),臺北市中正區北平西路3號2F,121.517823,25.047989,微風台北車站,1,1,
中正區,A160,交通,捷運西門站(板南線),親子廁所,特優級(分),臺北市中正區寶慶路32-1號B1F,121.508652,25.041746,捷運西門站,1,1,
中正區,D804,公園,中央藝文1號公園,親子,優等級(分),臺北市中正區北平東路30號對面,121.525912,25.046065,公園路燈工程管理處青年公園管理所,1,1,
中正區,A142,交通,捷運台電大樓站(松山新店線),親子,特優級(分),臺北市中正區羅斯福路三段216-5號B1F,121.529708,25.018927,捷運台電大樓站,1,1,
中正區,B761,觀光遊憩,臺北市客家文化主題公園(署),客家文化中心2F親子,特優級(分),臺北市中正區汀州路三段2號,121.5253,25.0203,臺北市客家事務委員會,1,1,
中正區,A132,交通,捷運古亭站(松山新店線),親子,特優級(分),臺北市中正區羅斯福路二段164之1號,121.523279,25.025473,捷運古亭站,0,1,
中正區,A130,交通,捷運中正紀念堂站(松山新店線),南側親子,特優級(分),臺北市中正區羅斯福路一段8之1號,121.518363,25.032251,捷運中正紀念堂站,0,1,
中正區,A141,交通,捷運公館站(松山新店線),親子廁所,特優級(分),臺北市中正區羅斯福路四段64-1號B1F(夜),121.534269,25.014786,捷運公館站,1,0,
中正區,百205,綜合零售賣場,三創生活園區,3F親子,特優級(分),臺北市中正區市民大道三段2號,121.531431,25.045728,三創生活園區,1,1,
中正區,百205,綜合零售賣場,三創生活園區,5F親子,特優級(分),臺北市中正區市民大道三段2號,121.531431,25.045728,三創生活園區,1,1,
中正區,百205,綜合零售賣場,三創生活園區,7F親子,特優級(分),臺北市中正區市民大道三段2號,121.531431,25.045728,三創生活園區,1,1,
中正區,A175,交通,機場捷運A1站,臺鐵連通區親子,特優級(分),臺北市中正區鄭州路8號,121.513772,25.048737,桃園國際機場捷運臺北站,0,1,
中正區,A175,交通,機場捷運A1站,詢問臺旁親子,特優級(分),臺北市中正區鄭州路8號,121.513772,25.048737,桃園國際機場捷運臺北站,0,1,
中正區,A175,交通,機場捷運A1站,D棟親子,特優級(分),臺北市中正區鄭州路8號,121.513772,25.048737,桃園國際機場捷運臺北站,1,1,
中正區,A161,交通,捷運善導寺站(板南線),親子,特優級(分),臺北市中正區忠孝西路一段58號,121.523133,25.044746,捷運善導寺站,0,0,
中正區,醫13,醫院,聯合醫院和平婦幼院區(和平),A1-1親子,特優級(分),臺北市中正區廣州街14號,121.506879,25.035528,臺北市立聯合醫院和平婦幼院區(和平),1,1,
中正區,醫13,醫院,聯合醫院和平婦幼院區(和平),A2-1親子,特優級(分),臺北市中正區廣州街14號,121.506879,25.035528,臺北市立聯合醫院和平婦幼院區(和平),1,1,
中正區,醫13,醫院,聯合醫院和平婦幼院區(和平),A3-1親子,特優級(分),臺北市中正區廣州街14號,121.506879,25.035528,臺北市立聯合醫院和平婦幼院區(和平),1,1,
中正區,百15,綜合零售賣場,新光三越台北站前店,8F親子,特優級(分),臺北市中正區忠孝西路一段66號,121.515241,25.046139,新光三越百貨股份有限公司,1,1,
中正區,A178,交通,捷運臺北車站(板南線),BL7親子,特優級(分),臺北市中正區忠孝西路一段49號,121.517896,25.046374,捷運臺北車站,1,1,
中正區,E059,市場,公有南門市場(署),1樓親子廁所,特優級(分),臺北市中正區羅斯福路一段8號,121.522284,25.030271,臺北市市場處公有南門市場,1,1,
